,teamNumber,nameFull,nameShort,city,stateProv,country,rookieYear,robotName,districtCode,schoolName,website,homeCMP
2727,6357,Apple/Texas Workforce Commission/FIRST in Texas/The Rozell Family/Unlimited Power Sports/BAE Systems/Del Angel Photography/Cisco Systems/Cirrus Logic/Solidworks/Intel/Hop'd Up Pizza&Dripping Springs H S,The Spring Konstant,Dripping Springs,Texas,USA,2017,,TX,Dripping Springs H S,,CMPTX
2728,6358,Idaho STEM Action Center/Monsanto Fund/ARTEC/Idaho Out-Of-School Network/Snake River Design/Idaho Community Foundation/Buhl School District/MJ Murdock Charitable Trust&Buhl High School,The Buhlean Operators ,Buhl,Idaho,USA,2017,,,Buhl High School,,CMPTX
2729,6359,Monsanto/NASA/CNH/Mike Bahr/Hamilton Telecommunications/Cardinal Tool and Die/Nebraska Section of ASABE/J&B Powder Coating & Blasting/Edgerton Explorit Center&Aurora High School,TechKnow Difficulties,Aurora,Nebraska,USA,2017,,,Aurora High School,,CMPMI
2731,6366,Stueken /BOSCH LLC/Bosch Rexroth Corporation/LabCorp /PPS International Limited&Hillcrest High,RAM Rodz Robotics,Simpsonville,South Carolina,USA,2017,,,Hillcrest High,,CMPTX
2732,6367,Dell/The Commonwealth of Massachusetts/The Hestia Fund/The Cummings Foundation&Brooke High School,The ElectroLights,Dorchester Center,Massachusetts,USA,2017,,NE,Brooke High School,,CMPMI
2733,6369,Emerson Process Management/Best Buy McKinney/Texas Instruments/Raytheon/ Collin County Habitat for Humanity/Texas Workforce Commission/Loews McKinney Store #2878/Camozzi Pneumatics/Mr. Handyman of Midwest Collin County/Rotary Club of McKinney&Family/Community,Mercenary Robotics,McKinney,Texas,USA,2017,,TX,Family/Community,,CMPTX
2734,6372,"BAE Systems/United Technologies Corporation/Friends and Family of Chi-squared Robotics/Plasma Robotics, FRC Team 2403/Maricopa Animal Hospital/Fisher Tools/All Material Handling/Industrial Metal Supply/Timber Woodworking Machinery/Copper State Nut and Bolt&Eduprize School Gilbert",Chi-squared Robotics,Gilbert,Arizona,USA,2017,,,Eduprize School Gilbert,,CMPTX
2735,6377,ATX Robotics/KLA-Tencor Foundation/Integrated Metal Products/Nolan Ryan Foundation/Rackspace/Qualcomm/Dell & Family/Community,Howdy Bots,Austin,Texas,USA,2017,,TX,Family/Community,,CMPTX
2737,6379,John Deere/Wells Fargo/Southeast Polk Education Foundation/NASA/Vermeer Corporation&Southeast Polk High School,Terabyte of Ram,Pleasant Hill,Iowa,USA,2017,,,Southeast Polk High School,,CMPMI
2739,6381,Kohler/Vollrath/Muth Family&North High&Family/Community,Red Raider Robotics,Sheboygan,Wisconsin,USA,2017,,,Family/Community & North High,,CMPMI
2743,6391,Boeing/Mercy/Girl Scouts of Eastern Missouri (GSEM)&Ursuline Academy,Ursuline Bearbotics,Saint Louis,Missouri,USA,2017,,,Ursuline Academy,,CMPTX
2746,6398,NASA&Santa Paula High,Kilo-bots,Santa Paula,California,USA,2017,,,Santa Paula High,,CMPTX
2747,6400,Manhattan FIRST Robotics/Gianforte Foundation/Zoot Enterprises/FORMation Architecture/Sofie Family&Family/Community,The Manhattan Project,Manhattan,Montana,USA,2017,,,Family/Community,,CMPTX
2748,6401,&Clarkstown North Senior High School,8-bit RAMs,New City,New York,USA,2017,,,Clarkstown North Senior High School,,CMPMI
2752,6410,Dave's Barbaque & Everett Alvarez High,Supreme Eagles,Salinas,California,USA,2017,,,Everett Alvarez High,,CMPTX
2753,6411,NASA/IM Flash/Intermountain Donor Services/Med One Capital Funding/The Compagno Family/Stephen Philpott&Jordan High,Gravediggers,Sandy,Utah,USA,2017,,,Jordan High,,CMPTX
2754,6412,Metro High School,For Sale By Owner,Cedar Rapids,Iowa,USA,2017,,,Metro High School,,CMPMI
2755,6413,Si Se Puede Foundation/General Motors/Maricopa County Attorney's Office/Chandler Unified School District/State Farm/Phoenix community Development and Investment Corporation/Frontera Funds/Solidworks&Family/Community,Degrees of Freedom,Chandler,Arizona,USA,2017,,,Family/Community,,CMPTX
2758,6418,Cruise Automation/Google/Weebly/Ciena/The Brin Wojcicki Foundation/A3/BAE/MK Think/Solidworks/Kotrie/Otherlab!/Zoox&Family/Community,The Missfits,San Francisco,California,USA,2017,,,Family/Community,,CMPTX
2759,6419,John Deere/West Des Moines Community Schools/City of West Des Moines/Rockwell Aerospace&Valley High School&Valley Southwoods&Waukee Senior High School&Lincoln High School&Dallas Center-Grimes High School&Dowling Catholic High School,ICE,West Des Moines,Iowa,USA,2017,,,Dowling Catholic High School & Dallas Center-Grimes High School & Lincoln High School & Waukee Senior High School & Valley High School & Valley Southwoods,,CMPMI
2760,6420,Bayer/John Deere/Community Foundation of Greater Muscatine (CFGM)/Iowa Governor's STEM Advisory Council/TEAM Staffing Solutions/HNI Corporation -- Hon and Allsteel/Hoffmann Inc./Kent Corporation/Musco Lighting&Muscatine High School,Fire Island Robotics,Muscatine,Iowa,USA,2017,,,Muscatine High School,,CMPMI
2761,6421,"Cognex Corp/Zund America, Inc/PPG/Xymox Technologies, Inc./Toshiba America, Inc&Muskego High",WarriorBots,Muskego,Wisconsin,USA,2017,,,Muskego High,,CMPMI
2762,6422,North Atlantic Industries/North Shore Youth Council&Family/Community,GearHeadz,Rocky Point,New York,USA,2017,,,Family/Community,,CMPMI
2763,6423,NASA & Ward Melville Senior High School,Ward Melville Iron Patriots,East Setauket,New York,USA,2017,,,Ward Melville Senior High School,,CMPMI
2764,6424,Knob Noster Public Schools/C&C ProPaint/DoDSTEM/Northrop Grumman/Edmentum/DoDEA/Whiteman Spouses' Club/Whiteman Air Force Base 509th Bomb Wing/Just Vision It/Central Logos/Judi Digou&Knob Noster High,Stealth Panther Robotics,Knob Noster,Missouri,USA,2017,,,Knob Noster High,,CMPTX
2765,6425,Coldwater Board of Public Utilities/Michigan Department of Education&Coldwater High School,The Conclave,Coldwater,Michigan,USA,2017,,FIM,Coldwater High School,,CMPMI
2766,6426,Compass Youth Center,Robo Gladiators,Durham,North Carolina,USA,2017,,FNC,Compass Youth Center,,CMPTX
2767,6428,Grand Valley State University College of Engineering/Precision Metalforming Association of West Michigan/Disher Design/IT Resources/Rodeway Inn&Coopersville High School,STEMINEERS,Coopersville,Michigan,USA,2017,,FIM,Coopersville High School,,CMPMI
2776,6442,"NASA/Buckaroo Booster Club/ALTRUSA International Pendleton, OR/Cayuse Technologies/Gordon's Electric/Kirby Nagelhout Construction Company/Pendleton Underground Tours/Pendleton Rotary Club/Sno Road Winery/Vision Source Pendleton/Wheatland Insurance/Historic Meacham Hotel & Retreat Center/Bottom Line Results/The Turquoise Arrow&Pendleton High School",Modern Americans,Pendleton,Oregon,USA,2017,,PNW,Pendleton High School,,CMPTX
2777,6443,Edwards Vacuum/Black Label Metal/Howard S Wright/Hillsboro Optimist Club/Autodesk/Puppet/Tripwire/Teco Technology/Nike/Intel/Hillsboro School District&Liberty High School,AEMBOT,Hillsboro,Oregon,USA,2017,,PNW,Liberty High School,,CMPTX
2779,6445,"Salem Electric/CUI Global, Inc./Elemental/Tiny Mountain Houses/Creekside Rotary/Vista Masonic Lodge/Capital City Appliance/Dennis' Boat Shop/Career Technical Education Center - Salem-Keizer Public Schools&Career and Technical Education Center (CTEC)",CTEC Robotics,Salem,Oregon,USA,2017,,PNW,Career and Technical Education Center (CTEC),,CMPTX
2780,6451,Endress+Hauser/Rolls-Royce/Stoeppelwerth/Electric Plus/Schieber Family/Sherri Hartman Bookkeeping&Whiteland Community High Sch,Wired Warriors,Whiteland,Indiana,USA,2017,,IN,Whiteland Community High Sch,,CMPMI
2781,6453,Upper Red Lake Area Association&Kelliher Secondary,Bog Bots!,Kelliher,Minnesota,USA,2017,,,Kelliher Secondary,,CMPMI
2782,6455,Cedar Valley Catholic Schools/Hoffman Produce & Columbus High School,The Coded Collective,Waterloo,Iowa,USA,2017,,,Columbus High School,,CMPMI
2786,6463,Allendale Machinery Haas HFO/Ulster BOCES/NY Tech Valley FIRST&Ulster Boces,RAMS,Port Ewen,New York,USA,2017,,,Ulster Boces,,CMPMI
2787,6464,Seminole Hs,Danger Noodle Danger,Seminole,Oklahoma,USA,2017,,,Seminole Hs,,CMPTX
2788,6465,Subaru of Bend/Autodesk/Boeing/Jackson's Corner/Cascade Insulation/The Wonderful Company/First Tech Federal Credit Union/Lonza Pharma & Biotech/Hooker Creek/ASI Wealth Management/Tumalo Express/Knife River/Brix Law&Cascades Academy of Central Oregon,Mystic Biscuit,Bend,Oregon,USA,2017,,PNW,Cascades Academy of Central Oregon,,CMPTX
2789,6471,P&G/Department of Defense&Lee County High School,Lee County High School Trobots,Leesburg,Georgia,USA,2017,,PCH,Lee County High School,,CMPTX
2790,6473,Walt Disney World/Boys & Girls Club of Central Florida&Boys & Girls Clubs of America,Rock Star Robotics,Orlando,Florida,USA,2017,,,Boys & Girls Clubs of America,,CMPTX
2791,6474,Genentech/Cordelia Rotary&Armijo High,Indigo Dynamics,Fairfield,California,USA,2017,,,Armijo High,,CMPTX
2793,6479,"BAE Systems/Dassault Systèmes SOLIDWORKS Corp./Industrial Metal Supply Co./Copper State Bolt & Nut Company/Professional Plastics/Wishes in Stitches Embroidery and Screen Printing/Corona del Sol Math Department/ABF Printing and Marketing/McCarthy Building Companies, Inc/Tempe Union High School District/Corona del Sol High School&Corona Del Sol High School&Corona Del Sol High School",AZTECH,Tempe,Arizona,USA,2017,,,Corona Del Sol High School & Corona Del Sol High School,,CMPTX
2796,6484,Fort Miller Group/Phantom Lab&Greenwich Junior-Senior High School,TechKnowLogic,Greenwich,New York,USA,2017,,,Greenwich Junior-Senior High School,,CMPMI
2800,6488,NASA/Texas Workforce Commission&Mayde Creek H S,RoboRams,Houston,Texas,USA,2017,,TX,Mayde Creek H S,,CMPTX
2801,6489,NASA/Entergy/Dow&Zachary High School,Bronco Robotics,Zachary,Louisiana,USA,2017,,,Zachary High School,,CMPTX
2802,6490,Sidco Filter Corp/Wychoff Foundation&Geneva High School,Panther Robotics,Geneva,New York,USA,2017,,,Geneva High School,,CMPMI
2803,6492,Velda Sibley/Nanette Nichols/Marion Craig/Billy and Tanya Bonner/FIRST/Mikel McCord/Billy Wayne & Jana Smith&Pangburn High School,Pangburn S.W.A.T.,Pangburn,Arkansas,USA,2017,,,Pangburn High School,,CMPTX
2804,6498,Toyota Motor Manufacturing Indiana/Alcoa/NASA/Monsanto/Ciholas/Nidec/Gibbs Diecast&Castle High School,Castle High School,Newburgh,Indiana,USA,2017,,IN,Castle High School,,CMPMI
2805,6499,Jack and Jill of Americas Foundation/Edwards Lifesciences&Family/Community&NASA,Innovos Robotics,Orange,California,USA,2017,,,Family/Community & NASA,,CMPTX
2806,6500,Corning /John Deere/Schneider Electric/VM Ware/Best Buy/Rambus/Primrose/Carworx&Millbrook High,GearCats,Raleigh,North Carolina,USA,2017,,FNC,Millbrook High,,CMPTX
2807,6502,NASA/University of Washington & Durham Academy,DARC SIDE,Durham,North Carolina,USA,2017,,FNC,Durham Academy,,CMPTX
2808,6503,Seattle World School,Iron Dragon,Seattle,Washington,USA,2017,,PNW,Seattle World School,,CMPTX
2809,6504,DODStem/Leidos/GDIT/CACI/Mitre/Oath Pizza/Custom Ink/Falls Church High&Falls Church High,Jagwires,Falls Church,Virginia,USA,2017,,CHS,Falls Church High,,CMPMI
2810,6506,KLA-Tencor/El Camino Machine & Welding/Qualcomm/Driscoll's /North American Seed Co./Goldstar Motors/Central Coast Allergy & Asthma/PHG Law Firm/American Ag Credit &Salinas High,Steel Boot,Salinas,California,USA,2017,,,Salinas High,,CMPTX
2813,6512,Argosy Foundation/American Nuclear Society/Archer Daniels Midland/Duke Energy/Brunswick Electric Membership Corporation/Brunswick County Schools&Family/Community,Coastal CATastrophe,Bolivia,North Carolina,USA,2017,,FNC,Family/Community,,CMPTX
2816,6515,Calexico High,Unimatics,Calexico,California,USA,2017,,,Calexico High,,CMPTX
2817,6517,Knox County School District/Denso/Consolidated Nuclear Security LLC./Argosy Foundation/Alcoa Aluminum/Jupiter Entertainment/TVA/Lowes & South Doyle High School,SoKno Robo ,Knoxville,Tennessee,USA,2017,,,South Doyle High School,,CMPTX
2818,6519,Tesla Spark&Southwest Career and Technical Academy,The Vegas Vortechs,Las Vegas,Nevada,USA,2017,,,Southwest Career and Technical Academy,,CMPTX
2822,6526,Texas Workforce Commission&Naaman Forest H S,Cyber Rangers,Garland,Texas,USA,2017,,TX,Naaman Forest H S,,CMPTX
2823,6527,"ePathways Seminole County Public Schools / State of Florida /Leidos/Lockheed Martin/Ace Hardware of Sanford, Florida/Union 25&Lake Mary High School&Crooms Academy of Information Technology&Winter Springs High School&Seminole High School&Lake Brantley High School",Short SirKit,Lake Mary,Florida,USA,2017,,,Seminole High School & Winter Springs High School & Crooms Academy of Information Technology & Lake Mary High School & Lake Brantley High School,,CMPTX
2824,6528,Ford Motor Company&Oscar A. Carlson High School,Terror Bytes,Gibraltar,Michigan,USA,2017,,FIM,Oscar A. Carlson High School,,CMPMI
2825,6529,O'Bryant Sch Math/Science,Beantown Blitz,Roxbury Crossing,Massachusetts,USA,2017,,NE,O'Bryant Sch Math/Science,,CMPMI
2826,6530,M2S2 Technologies/McCarthy Construction/RT Investments&Sunnyslope High School,Ra,Phoenix,Arizona,USA,2017,,,Sunnyslope High School,,CMPTX
2827,6532,Benjamin Carson High School of Science and Medicine,Ben Carson Blue Jays,Detroit,Michigan,USA,2017,,FIM,Benjamin Carson High School of Science and Medicine,,CMPMI
2828,6533,Saint-Gobain/Dow Corning&Beaverton High School,BeaverTech,Beaverton,Michigan,USA,2017,,FIM,Beaverton High School,,CMPMI
2829,6535,Boeing & Edison High,Edison Sustainabots,Huntington Beach,California,USA,2017,,,Edison High,,CMPTX
2831,6538,TECAT Performance Systems/Carlisle-Wortman Associates/UAW Local 898/Kalitta Motorsports&Lincoln Senior High School,Linc-Bots,Ypsilanti,Michigan,USA,2017,,FIM,Lincoln Senior High School,,CMPMI
2834,6542,Pittsburg High School & Pittsburg High,Technomancers,Pittsburg,Kansas,USA,2017,,,Pittsburg High,,CMPTX
2835,6543,NASA/NVIDIA & Pinnacle Academy,pumaTECH,Oakton,Virginia,USA,2017,,CHS,Pinnacle Academy,,CMPMI
2837,6545,Tawas Area High School,Tawas Braves,Tawas City,Michigan,USA,2017,,FIM,Tawas Area High School,,CMPMI
2838,6546,"L3 Technologies/American Indian Services/Sahara Cares/AndyMark/TrailersPlus/FRC Team 3132 ""Thunder Down Under""/San Juan County Commission/Navajo Generating Station & Navajo Mountain High",Naatsisʼáán Robotics,Navajo Mountain,Utah,USA,2017,,,Navajo Mountain High,,CMPTX
2839,6547,Texas Workforce Commission/Bezos Foundation&Magnolia West H S,Flaming Metal Robotics,Magnolia,Texas,USA,2017,,TX,Magnolia West H S,,CMPTX
2840,6548,Raymond James/Aptek/Professional Metal Works&Perry High School,Perry RAMBOTS,Perry,Michigan,USA,2017,,FIM,Perry High School,,CMPMI
2841,6550,Cargill&Evart High School,Wildcat Robotics ,Evart,Michigan,USA,2017,,FIM,Evart High School,,CMPMI
2842,6552,"Houghton Lake Community Schools/R2O Consulting, LLC/Home Depot of Houghton Lake #2769 (Store Manager: Jeromy Werra)&Houghton Lake High School",RoboCats,Houghton Lake,Michigan,USA,2017,,FIM,Houghton Lake High School,,CMPMI
2843,6553,Rio Mesa High,Roboticus,Oxnard,California,USA,2017,,,Rio Mesa High,,CMPTX
2844,6556,Hillsdale Dental Associates /G & G Glass /First&Waldron High School,Waldron Bot Heads,Waldron,Michigan,USA,2017,,FIM,Waldron High School,,CMPMI
2845,6557,Baraga Area High School,S.R.U - Special Robotics Unit,Baraga,Michigan,USA,2017,,FIM,Baraga Area High School,,CMPMI
2846,6558,L'Anse Manufacturing/Re/Max Douglass - Chris DeForge 906-482-1000/Lake Superior Design/Skipper's Bar and Grill - L'Anse MI&L'Anse High School,Aluminum Sting,Lanse,Michigan,USA,2017,,FIM,L'Anse High School,,CMPMI
2847,6560,Gene Haas&Family/Community,Charging Champions,Irvine,California,USA,2017,,,Family/Community,,CMPTX
2848,6561,Gateway to Success Academy,Omecha Wolf Pack,Scottville,Michigan,USA,2017,,FIM,Gateway to Success Academy,,CMPMI
2849,6565,"BOSCH/Sunrise Porch/Big J's Lawn and Maintenance/Mack's Tire Service/Pamlico Home Builders Supplies, Inc/Pamlico Parts Co. /Pamlico Packing Company/Aggie's Steak & Subs/Hardison's Tire Co./Darletta McNair/Attorney Paul J Delamar III/Mark Suchomel/Regina Velis and Gregorio Ramos/Laura Rosen/Trader Construction Co.&Arapahoe Charter School",Team Bobcat,Arapahoe,North Carolina,USA,2017,,FNC,Arapahoe Charter School,,CMPTX
2850,6566,"Caniff Electric Supply/Hy-Vac Technologies, Inc./Multistate Transmission&Lamphere High School",Lamphere Battering Rams,Madison Heights,Michigan,USA,2017,,FIM,Lamphere High School,,CMPMI
2851,6567,Magna &Lake Shore High School,The Broken Drill Bits ,Saint Clair Shores,Michigan,USA,2017,,FIM,Lake Shore High School,,CMPMI
2852,6568,"B & C Enterprise, Lawn Care Service/Special-Lite Inc./Village Market of Decatur&Decatur High School",Decatur Robotics Team,Decatur,Michigan,USA,2017,,FIM,Decatur High School,,CMPMI
2853,6569,"Lake Shore Systems, Inc./Great Lakes Sound & Vibration/Lake Superior Credit Union/Jim and Karen Bradley/Peninsula Graphics/Michigan Department of Education/Syl's Cafe/Ojibwa Casino/Full Throttle Auto Body/Citizen's State Bank/U Save True Value/Ontonagon Eagle's Club/Koski Log Homes/Hoppy's /UP North Cafe/494 Supporters/Blake's Auto Service/Domitrovich Insurance Agency&Ontonagon Area Jr/Sr High School",Gladiators,Ontonagon,Michigan,USA,2017,,FIM,Ontonagon Area Jr/Sr High School,,CMPMI
2854,6570,Michigan Department of Education/Link Engineering Company/TNT Solid Solutions&Whiteford High School,Whiteford Bobcats,Ottawa Lake,Michigan,USA,2017,,FIM,Whiteford High School,,CMPMI
2855,6573,Michigan Scientific Corporation/consumers energy/Circuit Controls Corporation &Alanson Public School,Alanson Viking Robotics,Alanson,Michigan,USA,2017,,FIM,Alanson Public School,,CMPMI
2856,6574,NASA/Pentair/Whitewater High School/Wisconsin Department of Public Instruction/Generac Power Systems/Lavelle Industries/University of Wisconsin - Whitewater College of Business and Economics/Milwaukee Tool/Anonymous Community Members/HSI Rentals/Michael Borglin and Tim Walsh/The Coburn Company/First Citizens State Bank/Hudapack Metal Treating/Whitewater Manufacturing/Kiwanis Whitewater Breakfast Club & Whitewater Kiwanis Foundation /Milwaukee School of Engineering/Fort Community Credit Union/Ketterhagen Motor Sales/Max Molina/Delta Kappa Gamma/Pelsue Orthodontics/Widen Enterprises&Whitewater High,Ferradermis,Whitewater,Wisconsin,USA,2017,,,Whitewater High,,CMPMI
2859,6580,Beadle Lake Veterinary Clinic/Eaton Corporation/Marshall Community Credit Union/FUG Screen Print & Embroidery/Tractor Supply Company/Tompkins Veterinary Clinic&Marshall Academy,Positive Charge,Marshall,Michigan,USA,2017,,FIM,Marshall Academy,,CMPMI
2860,6581,Hancock Central High School,Hancock Bulldogs ,Hancock,Michigan,USA,2017,,FIM,Hancock Central High School,,CMPMI
2861,6582,"Michigan Department of Education/Advanced Machining And Tooling/Aggressive Tooling, Inc./Helena/Blanchard's Thriftway/Larry's Electric&Vestaburg Community High School",Vestabots,Vestaburg,Michigan,USA,2017,,FIM,Vestaburg Community High School,,CMPMI
2862,6583,"Federal Mogul/Ford FIRST/Shiloh Industries, Inc./CC Electro Sales, Inc./Sprague Systems LLC/State of Michigan&New School High",Human Error,Plymouth,Michigan,USA,2017,,FIM,New School High,,CMPMI
2863,6584,Valboost/ATI (Ascend through Innovation)/Close.io/1st Choice Collision/Montgomery Adult Day Care/Clark Construction/Kat Goduco Photography&Academy of the Holy Cross,AHC Transformers,Kensington,Maryland,USA,2017,,CHS,Academy of the Holy Cross,,CMPMI
