,teamNumber,nameFull,nameShort,city,stateProv,country,rookieYear,robotName,districtCode,schoolName,website,homeCMP
0,1,FCA Foundation/Hirotec America/Molex&Oakland Schools Technical Campus Northeast,The Juggernauts,Pontiac,Michigan,USA,1997,,FIM,Oakland Schools Technical Campus Northeast,,CMPAW2
1,4,Boston Scientific/Aerojet Rocketdyne/Raytheon/Lockheed Martin/Sawing Services/SolidWorks/WAAG/Full Scale Effects/Environtology/Avery Dennison/ABACORP CNC Machined Parts/Center for Autism and Related Disorders&High Tech Los Angeles,Team 4 ELEMENT,Van Nuys,California,USA,1997,,,High Tech Los Angeles,,CMPAW
2,8,Apple/Bayer Fund/KLA Foundation/Arm Inc./TE Connectivity/BAE Systems/Intuitive Foundation/Markforged/Robby Technologies/Notion/Kirk’s Steakburgers/Emotiv/Solidworks/Asian Box/D&K Precision Sheet Metal/Dropbox&Palo Alto High School,Paly Robotics,Palo Alto,California,USA,1996,,,Palo Alto High School,,CMPAW
3,11,Siemens / National Defense Education Program / BAE Systems / ABB / Chameleon Designs / Nokia / LGS Innovations / Mt. Olive School District & Mt Olive High School,MORT,Flanders,New Jersey,USA,1997,,FMA,Mt Olive High School,,CMPAW2
4,16,Baxter Healthcare Corporation & Mountain Home HS Career Acad,Bomb Squad,Mountain Home,Arkansas,USA,1996,,,Mountain Home HS Career Acad,,CMPAW
5,20,Global Foundries - Town of Malta Foundation/Ignite U powered by NYSTEC/BAE SYSTEMS/GE/Advanced Manufacturing Techniques Inc./NYSTAR and CATS at Rensselaer Polytechnic Institute/KLA Foundation & Shenendehowa High School,The Rocketeers,Clifton Park,New York,USA,1992,,,Shenendehowa High School,,CMPAW2
6,21,The Boeing Company/Lockheed Martin/School Board of Brevard County/Barn Light Electric/DoD STEM/Planet Fitness of Daytona/NASA EGS/State of Florida/Florida Power & Light/Teledyne Marine/Indian River Technology llc/American Muscle&Astronaut High School&Titusville High School,ComBBAT,Titusville,Florida,USA,1998,,,Astronaut High School & Titusville High School,,CMPAW
7,25,"Bristol-Myers Squibb Co./Neil Parikh/Picatinny Arsenal. US Dept of Defense/Rutgers University, Department of Engineering/CIMA/L3Harris Corporation/North Brunswick Public Schools/Raider Robotix Parent and Mentor Organization&North Brunswick Township HS",Raider Robotix,North Brunswick,New Jersey,USA,1997,,FMA,North Brunswick Township HS,,CMPAW2
8,27,"TLS Productions/The Diez Group/BorgWarner/Continental Structural Plastics/Mclaren Health Care/Woodworth Incorporated/FCA Foundation/Techmode, LLC/Dickinson & Wright/Lawrence Plastics /DOD Stem/Bruce Hynes/AMT /RUSH Alumni/David and Alana Dorr/Genisys Credit Union/ARC Investments/BAE Systems/Bradford & Bethel, LLP/C&S Holding/Carl T Walsh II/Clarkston Rotary /Clarkston Rotary/Clarkston Coney Island/Continental Auto/Delphi Technologies/Ed & Helen Glowski /Gardner White /Industrial Furnace Interiors /K & S Ventures /Lifetime /Mint Steel Forge /Novation Analytics LLC/Power Home Solar /Safe N' Simple /Speciality Tooling Systems, INC/Teen Street Skills /Vibe Credit Union &Clarkston High School",Team RUSH,Clarkston,Michigan,USA,1997,,FIM,Clarkston High School,,CMPAW2
9,28,Pierson Middle High School,Pierson Whalers,Sag Harbor,New York,USA,1996,,,Pierson Middle High School,,CMPAW2
10,31,Best Buy/Jenks Public Schools/Department of Defense Education Program/AEP/Victoria Capital Mortgage Company/Williams/AT&T/Hilti&Jenks High School,Prime Movers,Jenks,Oklahoma,USA,1997,,,Jenks High School,,CMPAW
11,33,Fiat Chrysler Automobiles/The FCA Foundation/Innovation First International/TI Automotive/Elite Fence Products/Hubbard Spring/BAE Systems/The Woodbridge Group & Notre Dame Preparatory,Killer Bees,Auburn Hills,Michigan,USA,1996,,FIM,Notre Dame Preparatory,,CMPAW2
12,34,Boeing/Limestone County Board of Education&Limestone Co Career Tech Ctr&Family/Community,Rockets,Athens,Alabama,USA,1997,,,Family/Community & Limestone Co Career Tech Ctr,,CMPAW
