,teamNumber,nameShort,location,latitude,longitude
1500,4119,AERO (Avon Eagles Robotics Organization),"Avon , Avon, Ohio",41.4596243,-82.0196737
1501,4120,Jagwires,"Spokane, Washington",47.6571934,-117.42351
1502,4121,Vikings,"Hoover , North Canton, Ohio",40.8854676,-81.39481812559467
1503,4122,Ossining O-Bots,"Ossining , Ossining, New York",41.1613168,-73.8620367
1504,4123,Tribe Robotics,"Bellflower, California",33.8825705,-118.1167679
1505,4125,Confidential,"Umatilla , Umatilla, Oregon",45.9173549,-119.3425179
1506,4127,LoggerBots,"Vernonia  & Vernonia Middle School, Vernonia, Oregon",45.8611931,-123.17778941850129
1507,4130,The Blue Devils,"Richmond Community , Richmond, Michigan",42.8092,-82.766
1508,4131,Iron Patriots,"Renton, Washington",47.4799078,-122.2034496
1509,4132,Scotbots,"David Douglas , Portland, Oregon",45.5136705,-122.5278110781313
1510,4135,Iron Patriots,"Fred C. Beyer High, Modesto, California",37.691171999999995,-120.96732570145551
1511,4137,Wilde Bunch,"Wilde Lake High, Columbia, Maryland",39.216984,-76.87271159575143
1512,4139,Easy as Pi,"Scripps Ranch High, San Diego, California",32.908799349999995,-117.11207426099455
1513,4141,Monarch Robotics,"Mater Dei , Santa Ana, California",33.7258821,-117.8837581718698
1514,4143,MARS/ WARS,"Metamora , Metamora, Illinois",40.79757035,-89.3642938275612
1515,4145,WorBots,"Worthington Kilbourne , Columbus, Ohio",40.114792300000005,-83.05549762973658
1516,4146,Sabercats,"Saguaro , Scottsdale, Arizona",33.5276111,-111.90656877042034
1517,4150,FRobotics,"Murrysville, Pennsylvania",40.4284015,-79.697545
1518,4151,SCRAP,"Weymouth , Weymouth, Massachusetts",42.18170415,-70.94441632104113
1519,4153,Project Y,"Los Alamos, New Mexico",35.88137,-106.298959
1520,4156,Ninjaneers,"Sacred Heart Griffin , Springfield, Illinois",39.80049235,-89.67530584344024
1521,4159,CardinalBotics,"Lowell High, San Francisco, California",37.72921235,-122.48293370806712
1522,4160,The RoBucs,"Mission Bay High, San Diego, California",32.79896545,-117.22372683582815
1523,4161,T-Bird TECH,"Yucaipa High, Yucaipa, California",34.03737,-117.08699753320462
1524,4166,Robostang,"Mora, Minnesota",45.8769031,-93.2938352
1525,4169,Warrior Robotics,"Sudbury, Massachusetts",42.3834278,-71.4161725
1526,4171,BayBots,"Seaside High, Seaside, California",36.623883500000005,-121.83781252831669
1527,4173,Bulldogs,"Mount Vernon , Mount Vernon, Washington",48.4184546,-122.335004
1528,4174,Mustangs,"Buffalo Lake-Hector Secondary, Hector, Minnesota",44.74330395,-94.71904674439386
