,teamNumber,nameShort,location,latitude,longitude
3000,7914,CHS RoboDawgs,"Carroll , Monroe, Louisiana",32.49757,-92.101206
3001,7915,Ripon Robotics ,"Ripon , Ripon, Wisconsin",43.84102355,-88.85393861210508
3002,8002,The Knack,"Lake Country School, Hartland, Wisconsin",43.1087711,-88.36096059114777
3003,8003,Bushmen Robotics,"Pine Bush , Pine Bush, New York",41.6090032,-74.303755
3004,8004,Tigris ex Machina,"Waynesville , Waynesville, Missouri",37.8288512,-92.10517357246127
3005,8005,Mega MeadowBots,"Meadows School, Las Vegas, Nevada",36.194683,-115.28286535459482
3006,8006,The Phantoms,"Cathedral , Los Angeles, California",34.0692663,-118.23466590014772
3007,8012,APEX Robotics,"Red Mountain , Mesa, Arizona",33.433375299999994,-111.67518867036387
3008,8013,Boston Lions,"Boston, Massachusetts",42.3554334,-71.060511
3009,8014,Fortitude Robotics,"Aurora, Illinois",41.7571701,-88.3147539
3010,8016,Eco Robotics,"Rohnert Park, California",38.3396367,-122.7010984
3011,8018,Del Sol Dragons,"Las Vegas, Nevada",36.1672559,-115.148516
3012,8019,Patriot Engineering,"Veterans Memorial , Mission, Texas",26.2404314,-98.31548308860312
3013,8021,Panther Robotics,"Surprise, Arizona",33.6292271,-112.368018
3014,8022,Raging Hawk Robotics,"Las Vegas, Nevada",36.1672559,-115.148516
3015,8023,LRTC Androscoggin Argonauts,"Lewiston, Maine",44.100351,-70.2147764
3016,8024,Sparta Robotans,"Sparta , Sparta, Wisconsin",43.9391968,-90.8114498
3017,8025,Navigator Robotics ,"Kapolei, Hawaii",21.3340079,-158.077849
3018,8026,Tennessee Robotics Club,"Murfreesboro, Tennessee",35.8460396,-86.3921096
3019,8027,Not the Droids You Are Looking For,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861
3020,8028,The Resistance Network,"Alhambra , Phoenix, Arizona",33.5235919,-112.1109295
3021,8029,Steel Bronco Robotics,"Barrington, Illinois",42.1539141,-88.1361888
3022,8030,Scrapbots,"East Lincoln , Iron Station, North Carolina",35.475810949999996,-81.09498731401283
3023,8032,Redshift,"Seattle, Washington",47.6038321,-122.330062
3024,8033,Highlander Robotics,"Piedmont, California",37.8243715,-122.231635
3025,8037,VW Cougar Robotics,"Van Wert , Van Wert, Ohio",40.8616225,-84.5755178
3026,8038,R.O.B. (Robots Outta Bristow),"Bristow , Bristow, Oklahoma",35.8479618,-96.3844181
3027,8041,Lake City Ultrabots,"Lake City , Lake City, Michigan",44.338798049999994,-85.21225474982273
3028,8043,Neon Ryders,"Tulsa, Oklahoma",36.1563122,-95.9927516
3029,8044,Denham Venom,"Denham Springs  STEM and Robotics Center & Denham Springs , Denham Springs, Louisiana",30.469157799999998,-90.9581288317543
