,teamNumber,nameShort,location,latitude,longitude
3000,8060,Command Q,"Valencia , Valencia, California",37.1359459,-121.6545903
3001,8062,O Hale Gnaw,"Hale , Tulsa, Oklahoma",36.13238735,-95.8978131242024
3002,8063,Tornado Robotics,"Drumright , Drumright, Oklahoma",35.990631,-96.592423
3003,8064,Imperial Watch,"Drumright, Oklahoma",35.9884013,-96.6011294
3004,8065,Robarks,"Wagoner , Wagoner, Oklahoma",35.9593531,-95.3756535
3005,8068,Oakland Underground Robotics,"Waterford, Michigan",42.7022527,-83.402718
3006,8069,Super Hornets,"O Fallon, Missouri",38.7902503,-90.7033292
3007,8074,Rumble Bots,"Wewoka , Wewoka, Oklahoma",35.159798,-96.484799
3008,8075,CyberTigers,"Dover , Dover, New Jersey",40.8836475,-74.555491
3009,8077,Delmar Robotics Engineers At MADE,"Family/Community, Saint Louis, Missouri",38.6553372,-90.57151616658862
3010,8080,Sequoyah Robotics,"Sequoyah , Canton, Georgia",34.1708546,-84.42800774156956
3011,8083,ALX Robotics,"Alexander , Douglasville, Georgia",33.7542828,-84.7586217
3012,8085,MOJO,"Milford, Connecticut",41.2225318,-73.059479
3013,8086,Cad Lads,"Anadarko , Anadarko, Oklahoma",35.0848873,-98.22833983867821
3014,8087,Cougar Pride Robotics,"Show Low , Show Low, Arizona",34.2590343,-110.0325286
3015,8088,Bionic Panthers,"Liberty Hill , Liberty Hill, Texas",30.65503065,-97.89198567772233
3016,8090,Mavnesium,"Roxboro, North Carolina",36.3937519,-78.9827881
3017,8091,The Condors,"North Monterey Co , Castroville, California",36.768166,-121.7572632
3018,8094,Back Road Robotics ,"Statesboro, Georgia",32.4490141,-81.7832912
3019,8096,Cache Money,"Chicago, Illinois",41.8755616,-87.6244212
3020,8098,Wildkat Robotiks FRC,"Willis , Willis, Texas",30.4262525,-95.47090160311481
3021,8100,Grayson Robotics,"Grayson , Grayson, Georgia",33.9054582,-83.9660228
3022,8103,East Noble High School,"East Noble , Kendallville, Indiana",41.43523,-85.2572532
3023,8104,Squid Worx Robotics,"Jupiter, Florida",26.9342246,-80.0942087
3024,8108,Fantastic4Robotics,"Abingdon, Virginia",36.7104018,-81.975249
3025,8109,Pirate Robotics,"Piedmont Hills , San Jose, California",37.4016912,-121.85130759367092
3026,8112,Cyclotrons,"Ottawa , Ottawa, Kansas",39.1048406,-97.5707039
3027,8114,Boerne Space Force ,"Champion  & Boerne , Boerne, Texas",29.794365149999997,-98.70139487922495
3028,8115,Platinum Peacocks,"Austin Catholic , Chesterfield, Michigan",42.675777,-82.84863636777257
3029,8116,Hatchet Robotics,"Washington , Washington, Indiana",38.88892825,-77.04070402944541
3030,8117,RoboRovers,"Easton Area , Easton, Pennsylvania",40.6744214,-75.2139920594256
3031,8118,Gearing With Grace,"Christ Episcopal School, Covington, Louisiana",30.4722631,-90.0952048
3032,8119,TigerBotics,"Imperial , Imperial, California",32.8475529,-115.569439
3033,8122,Robotic Eagles ,"Taft , Chicago, Illinois",41.98452055,-87.79111548478888
3034,8123,Pace Enginerds,"Brownsville, Texas",25.9140277,-97.4890879
3035,8124,BearBots,"Roosevelt , Wyandotte, Michigan",42.200720000000004,-83.15877188113943
3036,8126,Control Freaks,"Vicksburg , Vicksburg, Michigan",42.11545995,-85.52597867924062
3037,8128,ACE INNOVATORS,"Reno, Nevada",39.5261206,-119.8126581
3038,8130,Fundamentals,"Absecon, New Jersey",39.4284503,-74.4957076
3039,8133,JayBots,"Jeannette, Pennsylvania",40.3281247,-79.6153198
3040,8134,SJP Eagle Botz,"Boca Raton, Florida",26.3586885,-80.0830984
3041,8135,Legacy Robotics,"Santa Ana, California",33.7494951,-117.8732213
3042,8137,Byting Bulldogs,"Georgetown , Georgetown, South Carolina",33.376834,-79.2944965
3043,8138,SpicyBots,"Tacoma, Washington",47.2495798,-122.439874
3044,8139,Pirate Robotics,"Cedar Creek , Egg Harbor City, New Jersey",39.5516666,-74.62725028853046
3045,8140,RoboManiacs,"Cleveland, Ohio",41.4996574,-81.6936772
3046,8144,Red Chair Robotics,"Cypress Springs , Cypress, Texas",30.077266,-99.280948
3047,8145,Tech Warriors,"Cleveland, Ohio",41.4996574,-81.6936772
3048,8148,QUANTUM RANGERS,"Riverside , El Paso, Texas",31.7326101,-106.3730396
